"GHO (CODE)","GHO (DISPLAY)","GHO (URL)","PUBLISHSTATE (CODE)","PUBLISHSTATE (DISPLAY)","PUBLISHSTATE (URL)","YEAR (CODE)","YEAR (DISPLAY)","YEAR (URL)","REGION (CODE)","REGION (DISPLAY)","REGION (URL)","COUNTRY (CODE)","COUNTRY (DISPLAY)","COUNTRY (URL)","Display Value","Numeric","Low","High","Comments"
"HRH_29","Community and traditional health workers density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4551","PUBLISHED","Published","","1995","1995","","WPR","Western Pacific","","CHN","China","","1.086","1.08600","","","<b>Community and traditional health workers: </b>Includes Village doctors and assistants</br><b> Country: </b>China </br><b>Year: </b>1995</br><b> Data Source:</b> National Bureau of Statistics of China"
"HRH_33","Nursing and midwifery personnel density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=105","PUBLISHED","Published","","2003","2003","","EUR","Europe","","ITA","Italy","","5.44","5.44000","","","<b>Nursing and midwifery personnel: </b>Includes Nurse</br><b> Country: </b>Italy </br><b>Year: </b>2003</br><b> Data Source:</b> OECD Health Data 2005"
"HRH_27","Laboratory health workers density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4549","PUBLISHED","Published","","2001","2001","","WPR","Western Pacific","","CHN","China","","0.157","0.15700","","","<b>Laboratory health workers: </b>Includes Laboratory technician, Junior Laboratory Technicians            , Assistant Laboratory Technicians         </br><b> Country: </b>China </br><b>Year: </b>2001</br><b> Data Source:</b> National Bureau of Statistics,China"
"HRH_31","Environmental and public health workers density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=322","PUBLISHED","Published","","2006","2006","","AFR","Africa","","ZMB","Zambia","","0.068","0.06800","","","<b>Environment and public health workers: </b>Includes EH Technicians, EH Technologist, EHO</br><b> Country: </b>Zambia </br><b>Year: </b>2006</br><b> Data Source:</b> Human Resources for Health Strategic Plan 2006 - 2010"
"HRH_30","Other health workers density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=106","PUBLISHED","Published","","2010","2010","","AFR","Africa","","MLI","Mali","","0.302","0.30200","","",""
"HRH_25","Pharmaceutical personnel density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=320","PUBLISHED","Published","","2009","2009","","EMR","Eastern Mediterranean","","MAR","Morocco","","0.27","0.27000","","","<b>Pharmaceutical personnel: </b>Includes Pharmacists </br><b> Country: </b>Morocco </br><b>Year: </b>2009</br><b> Data Source:</b> WHO EMRO Country Profiles "
"HRH_33","Nursing and midwifery personnel density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=105","PUBLISHED","Published","","2004","2004","","AFR","Africa","","ETH","Ethiopia","","0.215","0.21500","","","<b>Nursing and midwifery personnel: </b>Includes Nurse (all types), Midwife</br><b> Country: </b>Ethiopia </br><b>Year: </b>2004</br><b> Data Source:</b> Federal Ministry of Health"
"HRH_25","Pharmaceutical personnel density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=320","PUBLISHED","Published","","2010","2010","","WPR","Western Pacific","","KHM","Cambodia","","0.035","0.03500","","","<b>Pharmaceutical personnel: </b>Includes Pharmacists</br><b> Country: </b>Cambodia </br><b>Year: </b>2010</br><b> Data Source:</b> Ministry of Health, Human Resources Department"
"HRH_33","Nursing and midwifery personnel density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=105","PUBLISHED","Published","","1997","1997","","AMR","Americas","","KNA","Saint Kitts and Nevis","","5.651","5.65100","","","<b>Nursing and midwifery personnel: </b>Includes Nurses, Nursing Assistants</br><b> Country: </b>Saint Kitts and Nevis</br><b>Year: </b>1997</br><b> Data Source:</b> Ministry of Health"
"HRH_28","Dentistry personnel density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=87","PUBLISHED","Published","","1998","1998","","EUR","Europe","","LVA","Latvia","","0.441","0.44100","","","<b>Dentistry personnel: </b>Includes Dentists</br><b> Country: </b>Latvia </br><b>Year: </b>1998</br><b> Data Source:</b> Central Statistical Bureau of Latvia "
"HRH_26","Physicians density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=112","PUBLISHED","Published","","1998","1998","","EMR","Eastern Mediterranean","","PAK","Pakistan","","0.611","0.61100","","","<b>Physician: </b>Includes Doctors</br><b> Country: </b>Pakistan </br><b>Year: </b>1998</br><b> Data Source:</b> Health division, MOH, Pakistan"
"HRH_28","Dentistry personnel density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=87","PUBLISHED","Published","","2008","2008","","EUR","Europe","","ESP","Spain","","0.587","0.58700","","","<b>Dentistry personnel: </b>Includes Dentists</br><b> Country: </b>Spain </br><b>Year: </b>2008</br><b> Data Source:</b> Instituto Nacional de Estadistica"
"HRH_33","Nursing and midwifery personnel density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=105","PUBLISHED","Published","","2003","2003","","AFR","Africa","","ZAF","South Africa","","3.947","3.94700","","","<b>Nursing and midwifery personnel: </b>Includes Nurses</br><b> Country: </b>South Africa </br><b>Year: </b>2003</br><b> Data Source:</b> South African Nursing Council"
"HRH_28","Dentistry personnel density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=87","PUBLISHED","Published","","2001","2001","","AMR","Americas","","LCA","Saint Lucia","","0.184","0.18400","","","<b>Dentistry personnel: </b>Includes Dentists and allied</br><b> Country: </b>Saint Lucia</br><b>Year: </b>2001</br><b> Data Source:</b> Saint Lucia 2001 Census"
"HRH_30","Other health workers density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=106","PUBLISHED","Published","","2009","2009","","EUR","Europe","","BIH","Bosnia and Herzegovina","","0.075","0.07500","","",""
"HRH_28","Dentistry personnel density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=87","PUBLISHED","Published","","2011","2011","","WPR","Western Pacific","","KOR","Republic of Korea","","0.442","0.44200","","","<b>Dentistry personnel: </b>Includes Practising dentists</br><b> Country: </b>Republic of Korea</br><b>Year: </b>2011</br><b> Data Source:</b> OECD Health Data, December 2013"
"HRH_30","Other health workers density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=106","PUBLISHED","Published","","2005","2005","","WPR","Western Pacific","","KOR","Republic of Korea","","6.007","6.00700","","",""
"HRH_26","Physicians density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=112","PUBLISHED","Published","","2005","2005","","EMR","Eastern Mediterranean","","SYR","Syrian Arab Republic","","1.483","1.48300","","","<b>Physician: </b>Includes Physicians</br><b> Country: </b>Syrian Arab Republic </br><b>Year: </b>2005</br><b> Data Source:</b> Central Bureau of Statistics"
"HRH_28","Dentistry personnel density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=87","PUBLISHED","Published","","2013","2013","","EUR","Europe","","AZE","Azerbaijan","","0.257","0.25700","","","<b>Dentistry Personnel: </b>Includes Practising dentists</br><b> Country: </b>Azerbaijan </br><b>Year: </b>2013</br><b> Data Source:</b> WHO/Europe, HlthResDB, September 2014 Notes: Nagorno Karabah excluded"
"HRH_26","Physicians density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=112","PUBLISHED","Published","","1997","1997","","EUR","Europe","","DNK","Denmark","","2.921","2.92100","","","<b>Physician: </b>Includes Physicians</br><b> Country: </b>Denmark </br><b>Year: </b>1997</br><b> Data Source:</b> Norden database"
"HRH_33","Nursing and midwifery personnel density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=105","PUBLISHED","Published","","2004","2004","","EUR","Europe","","FRA","France","","7.507","7.50700","","","<b>Nursing and midwifery personnel: </b>Includes Infirmiers, Sages- femmes</br><b> Country: </b>France </br><b>Year: </b>2004</br><b> Data Source:</b> Eco-Sant� France d'apr�s donn�es Adeli de la DREES"
"HRH_33","Nursing and midwifery personnel density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=105","PUBLISHED","Published","","1998","1998","","WPR","Western Pacific","","PLW","Palau","","6.278","6.27800","","","<b>Nursing and midwifery personnel: </b>Includes Nurses and Midwives (incl. Health Assistants)  </br><b> Country: </b>Palau </br><b>Year: </b>1998</br><b> Data Source:</b> Ministry of Health"
"HRH_25","Pharmaceutical personnel density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=320","PUBLISHED","Published","","2006","2006","","AFR","Africa","","CPV","Cabo Verde","","0.008","0.00800","","","<b>Pharmaceutical personnel: </b>Includes Farmac�utico, T�cn. Adjunto de Farm�cia, T�cn. Profissional de Farm�cia</br><b> Country: </b>Cape Verde </br><b>Year: </b>2006</br><b> Data Source:</b> Relat�rios HC, Minist�rio da Sa�de, Rep�blica de Cabo Verde"
"HRH_25","Pharmaceutical personnel density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=320","PUBLISHED","Published","","2009","2009","","EUR","Europe","","TUR","Turkey","","0.327","0.32700","","","<b>Pharmaceutical personnel: </b>Includes Pharmacists</br><b> Country: </b>Turkey </br><b>Year: </b>2009</br><b> Data Source:</b> Ministry of Health"
"HRH_32","Health management & support workers density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4550","PUBLISHED","Published","","2009","2009","","EUR","Europe","","MKD","The former Yugoslav republic of Macedonia","","2.472","2.47200","","",""
"HRH_32","Health management & support workers density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4550","PUBLISHED","Published","","2009","2009","","EUR","Europe","","BEL","Belgium","","0.006","0.00600","","",""
"HRH_28","Dentistry personnel density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=87","PUBLISHED","Published","","1991","1991","","SEAR","South-East Asia","","LKA","Sri Lanka","","0.019","0.01900","","","<b>Dentistry personnel: </b>Includes Dental surgeons</br><b> Country: </b>Sri Lanka </br><b>Year: </b>1991</br><b> Data Source:</b> Ministry of Health"
"HRH_27","Laboratory health workers density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4549","PUBLISHED","Published","","2004","2004","","EMR","Eastern Mediterranean","","IRN","Iran (Islamic Republic of)","","0.287","0.28700","","","<b>Laboratory health workers: </b>Includes Laboratory scientist, Radiographer, Laboratory technician, Laboratory assistant</br><b> Country: </b>Iran, Islamic Republic of</br><b>Year: </b>2004</br><b> Data Source:</b> Ministry of Health and Medical education"
"HRH_30","Other health workers density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=106","PUBLISHED","Published","","2007","2007","","EMR","Eastern Mediterranean","","KWT","Kuwait","","2.519","2.51900","","",""
"HRH_30","Other health workers density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=106","PUBLISHED","Published","","2004","2004","","AFR","Africa","","SWZ","Swaziland","","0.569","0.56900","","",""
"HRH_33","Nursing and midwifery personnel density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=105","PUBLISHED","Published","","2008","2008","","WPR","Western Pacific","","KHM","Cambodia","","0.786","0.78600","","","<b>Nursing and midwifery personnel: </b>Includes Nurses, Midwives</br><b> Country: </b>Cambodia </br><b>Year: </b>2008</br><b> Data Source:</b> Personnel Department, MOH"
"HRH_26","Physicians density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=112","PUBLISHED","Published","","2004","2004","","AFR","Africa","","CMR","Cameroon","","0.192","0.19200","","","<b>Physician: </b>Includes Generalist, Specialist</br><b> Country: </b>Cameroon </br><b>Year: </b>2004</br><b> Data Source:</b> WHO Survey 2005"
"HRH_26","Physicians density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=112","PUBLISHED","Published","","2010","2010","","AMR","Americas","","MEX","Mexico","","1.991","1.99100","","","<b>Physician: </b>Includes Practising physicians</br><b> Country: </b>Mexico </br><b>Year: </b>2010</br><b> Data Source:</b> OECD Health Data, December 2013"
"HRH_28","Dentistry personnel density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=87","PUBLISHED","Published","","2004","2004","","EMR","Eastern Mediterranean","","BHR","Bahrain","","0.463","0.46300","","","<b>Dentistry personnel: </b>Includes Dental consultant, Dentist, Dental assistant, Dental technician</br><b> Country: </b>Bahrain </br><b>Year: </b>2004</br><b> Data Source:</b> Public sector:computer system (MoH);private sector"
"HRH_32","Health management & support workers density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4550","PUBLISHED","Published","","2008","2008","","WPR","Western Pacific","","TUV","Tuvalu","","0.364","0.36400","","",""
"HRH_28","Dentistry personnel density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=87","PUBLISHED","Published","","2009","2009","","AFR","Africa","","SWZ","Swaziland","","0.042","0.04200","","","<b>Dentistry personnel: </b>Includes Dentists (Dental officers), Dental assistants and therapists</br><b> Country: </b>Swaziland </br><b>Year: </b>2009</br><b> Data Source:</b> MOHSW Statistics Unit, August 2009"
"HRH_25","Pharmaceutical personnel density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=320","PUBLISHED","Published","","2005","2005","","AFR","Africa","","DZA","Algeria","","0.186","0.18600","","","<b>Pharmaceutical personnel: </b>Includes Pharmaciens </br><b> Country: </b>Algeria </br><b>Year: </b>2005</br><b> Data Source:</b> Plan National de D�veloppement de Ressources Humaines pour la Sant� - Alger, 2008"
"HRH_27","Laboratory health workers density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4549","PUBLISHED","Published","","2004","2004","","SEAR","South-East Asia","","BGD","Bangladesh","","0.025","0.02500","","","<b>Laboratory health workers: </b>Includes Radiographer, Radiotherapist, Laboratory technologist</br><b> Country: </b>Bangladesh </br><b>Year: </b>2004</br><b> Data Source:</b> WHO Survey 2005"
"HRH_26","Physicians density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=112","PUBLISHED","Published","","2010","2010","","EUR","Europe","","KAZ","Kazakhstan","","3.863","3.86300","","","<b>Physician: </b>Includes Practising physicians</br><b> Country: </b>Kazakhstan </br><b>Year: </b>2010</br><b> Data Source:</b> WHO/Europe, HlthResDB, September 2014"
"HRH_28","Dentistry personnel density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=87","PUBLISHED","Published","","2009","2009","","EUR","Europe","","DNK","Denmark","","0.809","0.80900","","","<b>Dentistry personnel: </b>Includes Dentists</br><b> Country: </b>Denmark </br><b>Year: </b>2009</br><b> Data Source:</b> Norden database"
"HRH_25","Pharmaceutical personnel density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=320","PUBLISHED","Published","","2011","2011","","WPR","Western Pacific","","MYS","Malaysia","","0.43","0.43000","","","<b>Pharmaceutical personnel: </b>Includes Pharmacists licensed/registered, Pharmacy technicians/assistants</br><b> Country: </b>Malaysia </br><b>Year: </b>2011</br><b> Data Source:</b> Public Services Department (PSD)"
"HRH_26","Physicians density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=112","PUBLISHED","Published","","1996","1996","","EUR","Europe","","FRA","France","","3.229","3.22900","","","<b>Physician: </b>Includes M�decins</br><b> Country: </b>France </br><b>Year: </b>1996</br><b> Data Source:</b> Eco-Sant� France d'apr�s donn�es Adeli de la DREES"
"HRH_28","Dentistry personnel density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=87","PUBLISHED","Published","","2001","2001","","AMR","Americas","","VCT","Saint Vincent and the Grenadines","","0.178","0.17800","","","<b>Dentistry personnel: </b>Includes Dentists and allied</br><b> Country: </b>Saint Vincent and the Grenadines</br><b>Year: </b>2001</br><b> Data Source:</b> Saint Vincent 2001 Census"
"HRH_33","Nursing and midwifery personnel density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=105","PUBLISHED","Published","","2003","2003","","WPR","Western Pacific","","CHN","China","","0.965","0.96500","","","<b>Nursing and midwifery personnel: </b>Includes Registered Nurse</br><b> Country: </b>China </br><b>Year: </b>2003</br><b> Data Source:</b> National Bureau of Statistics of China"
"HRH_26","Physicians density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=112","PUBLISHED","Published","","2001","2001","","AFR","Africa","","BWA","Botswana","","0.291","0.29100","","","<b>Physician: </b>Includes Doctors</br><b> Country: </b>Botswana </br><b>Year: </b>2001</br><b> Data Source:</b> Central Statistics Office"
"HRH_26","Physicians density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=112","PUBLISHED","Published","","2005","2005","","EMR","Eastern Mediterranean","","IRN","Iran (Islamic Republic of)","","0.89","0.89000","","","<b>Physician: </b>Includes Physicians</br><b> Country: </b>Iran, Islamic Republic of</br><b>Year: </b>2005</br><b> Data Source:</b> WHO/EMR Country Profiles database"
"HRH_26","Physicians density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=112","PUBLISHED","Published","","2009","2009","","EUR","Europe","","HUN","Hungary","","3.523","3.52300","","","<b>Physician: </b>Includes Doctors</br><b> Country: </b>Hungary </br><b>Year: </b>2009</br><b> Data Source:</b> Kozponti Statisztikai Hivatal"
"HRH_32","Health management & support workers density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4550","PUBLISHED","Published","","2008","2008","","AFR","Africa","","MOZ","Mozambique","","0.016","0.01600","","",""
"HRH_28","Dentistry personnel density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=87","PUBLISHED","Published","","1997","1997","","AMR","Americas","","GRD","Grenada","","0.085","0.08500","","","<b>Dentistry personnel: </b>Includes Dentist</br><b> Country: </b>Grenada </br><b>Year: </b>1997</br><b> Data Source:</b> Global Atlas"
"HRH_30","Other health workers density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=106","PUBLISHED","Published","","2002","2002","","EUR","Europe","","LVA","Latvia","","0.742","0.74200","","",""
"HRH_31","Environmental and public health workers density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=322","PUBLISHED","Published","","2004","2004","","AFR","Africa","","SYC","Seychelles","","0.963","0.96300","","","<b>Environment and public health workers: </b>Includes Environmental and public health officer</br><b> Country: </b>Seychelles </br><b>Year: </b>2004</br><b> Data Source:</b> Personnel Data Base"
"HRH_28","Dentistry personnel density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=87","PUBLISHED","Published","","2004","2004","","AFR","Africa","","TCD","Chad","","0.002","0.00200","","","<b>Dentistry personnel: </b>Includes Dentist, Dental technician</br><b> Country: </b>Chad </br><b>Year: </b>2004</br><b> Data Source:</b> DRHF"
"HRH_33","Nursing and midwifery personnel density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=105","PUBLISHED","Published","","2010","2010","","WPR","Western Pacific","","JPN","Japan","","10.864","10.86400","","","<b>Nursing and midwifery personnel: </b>Includes Public health nurses, Midwives, Nurses, Assistant nurses</br><b> Country: </b>Japan </br><b>Year: </b>2010</br><b> Data Source:</b>  Statistics and Information Department, Minister's Secretariat, Ministry of Health, Labour and Welfare"
"HRH_30","Other health workers density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=106","PUBLISHED","Published","","2010","2010","","AMR","Americas","","USA","United States of America","","8.579","8.57900","","",""
"HRH_33","Nursing and midwifery personnel density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=105","PUBLISHED","Published","","2007","2007","","AMR","Americas","","TTO","Trinidad and Tobago","","3.562","3.56200","","","<b>Nursing and midwifery personnel: </b>Includes Nurses and Midwives, Nursing Aides and Patient Care Assistants, Nursing Assistants</br><b> Country: </b>Trinidad and Tobago </br><b>Year: </b>2007</br><b> Data Source:</b> Central Statistical Office"
"HRH_26","Physicians density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=112","PUBLISHED","Published","","2010","2010","","EMR","Eastern Mediterranean","","PAK","Pakistan","","0.827","0.82700","","","<b>Physician: </b>Includes Doctors</br><b> Country: </b>Pakistan </br><b>Year: </b>2010</br><b> Data Source:</b> Health division, MOH; Pakistan Medical and Dental Council (PMDC)"
"HRH_33","Nursing and midwifery personnel density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=105","PUBLISHED","Published","","2010","2010","","EUR","Europe","","POL","Poland","","5.395","5.39500","","","<b>Nursing and midwifery personnel: </b>Includes Nurses, Midwives</br><b> Country: </b>Poland </br><b>Year: </b>2010</br><b> Data Source:</b> Data of the Ministry of Health and Central Statistical Office"
"HRH_30","Other health workers density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=106","PUBLISHED","Published","","2007","2007","","EUR","Europe","","ISL","Iceland","","3.063","3.06300","","",""
"HRH_26","Physicians density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=112","PUBLISHED","Published","","2008","2008","","WPR","Western Pacific","","TON","Tonga","","0.553","0.55300","","","<b>Physician: </b>Includes Physicians </br><b> Country: </b>Tonga </br><b>Year: </b>2008</br><b> Data Source:</b> Country health information profile(CHIP 2010), WPRO"
"HRH_28","Dentistry personnel density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=87","PUBLISHED","Published","","2006","2006","","EUR","Europe","","BEL","Belgium","","0.754","0.75400","","","<b>Dentistry personnel: </b>Includes Dentistes (Dentists)</br><b> Country: </b>Belgium </br><b>Year: </b>2006</br><b> Data Source:</b> Service public f�d�ral Sant� publique, S�curit� de la Cha�ne alimentaire et Environnement"
"HRH_28","Dentistry personnel density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=87","PUBLISHED","Published","","2000","2000","","WPR","Western Pacific","","MYS","Malaysia","","0.093","0.09300","","","<b>Dentistry personnel: </b>Includes Dentist</br><b> Country: </b>Malaysia </br><b>Year: </b>2000</br><b> Data Source:</b> Information and Documentation System Unit, Ministry of Health"
"HRH_30","Other health workers density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=106","PUBLISHED","Published","","2012","2012","","EMR","Eastern Mediterranean","","OMN","Oman","","2.287","2.28700","","",""
"HRH_26","Physicians density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=112","PUBLISHED","Published","","2004","2004","","AFR","Africa","","SYC","Seychelles","","1.513","1.51300","","","<b>Physician: </b>Includes Generalist</br><b> Country: </b>Seychelles </br><b>Year: </b>2004</br><b> Data Source:</b> Personnel Data Base"
"HRH_33","Nursing and midwifery personnel density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=105","PUBLISHED","Published","","2009","2009","","EUR","Europe","","UZB","Uzbekistan","","11.132","11.13200","","","<b>Nursing and Midwifery Personnel: </b>Includes Practising midwives, Practising nurses</br><b> Country: </b>Uzbekistan </br><b>Year: </b>2009</br><b> Data Source:</b> WHO/Europe, HlthResDB, September 2014"
"HRH_25","Pharmaceutical personnel density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=320","PUBLISHED","Published","","2009","2009","","WPR","Western Pacific","","AUS","Australia","","1.038","1.03800","","","<b>Pharmaceutical personnel: </b>Includes Pharmacists</br><b> Country: </b>Australia </br><b>Year: </b>2009</br><b> Data Source:</b> ABS 2009. Labour Force, Australia, detailed, quarterly, February 2009. Cat. No. 6291.0.55.003, Table E08. Canberra: ABS."
"HRH_28","Dentistry personnel density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=87","PUBLISHED","Published","","2000","2000","","EMR","Eastern Mediterranean","","OMN","Oman","","0.1","0.10000","","","<b>Dentistry personnel: </b>Includes Dentists</br><b> Country: </b>Oman </br><b>Year: </b>2000</br><b> Data Source:</b> Annual Health Information Reports, Ministry of Health, Oman"
"HRH_28","Dentistry personnel density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=87","PUBLISHED","Published","","1995","1995","","AMR","Americas","","ECU","Ecuador","","0.154","0.15400","","","<b>Dentistry personnel: </b>Includes Odont�logos </br><b> Country: </b>Ecuador </br><b>Year: </b>1995</br><b> Data Source:</b> INEC, Anuarios de Recursos y Actividades de Salud y Bases de Datos, Ecuador 2002-2003."
"HRH_29","Community and traditional health workers density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4551","PUBLISHED","Published","","2007","2007","","AFR","Africa","","NGA","Nigeria","","0.14","0.14000","","","<b>Community and traditional health workers: </b>Includes ALTERNATIVE MEDICINE PRACTITIONERS, COMMUNITY HEALTH OFFICERS</br><b> Country: </b>Nigeria </br><b>Year: </b>2007</br><b> Data Source:</b> Health Workforce country Profile for Nigeria, October 2008"
"HRH_26","Physicians density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=112","PUBLISHED","Published","","2004","2004","","AFR","Africa","","BDI","Burundi","","0.028","0.02800","","","<b>Physician: </b>Includes Generalist, Specialist</br><b> Country: </b>Burundi </br><b>Year: </b>2004</br><b> Data Source:</b> INSTITUT DES STATISTIQUES ECONOMIQUES DU BURUNDI"
"HRH_30","Other health workers density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=106","PUBLISHED","Published","","2011","2011","","AMR","Americas","","BOL","Bolivia (Plurinational State of)","","0.173","0.17300","","",""
"HRH_26","Physicians density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=112","PUBLISHED","Published","","2009","2009","","EUR","Europe","","FIN","Finland","","2.905","2.90500","","","<b>Physician: </b>Includes Physicians</br><b> Country: </b>Finland </br><b>Year: </b>2009</br><b> Data Source:</b> Norden database"
"HRH_25","Pharmaceutical personnel density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=320","PUBLISHED","Published","","2004","2004","","EMR","Eastern Mediterranean","","PAK","Pakistan","","0.052","0.05200","","","<b>Pharmaceutical personnel: </b>Includes Pharmacist</br><b> Country: </b>Pakistan </br><b>Year: </b>2004</br><b> Data Source:</b> Pakistan Medical & Dental Council, Islamabad."
